filename,description
Food_Group__p19_img5.png,Two whole parsnips.
Food_Group__p19_img6.png,A whole butternut squash with one half and a quarter cut piece showing orange flesh and seeds.
Food_Group__p19_img7.png,Three fresh red tomatoes on a vine.
Food_Group__p19_img8.png,A bunch of fresh spinach leaves tied with a red band.
Food_Group__p19_img9.png,A bunch of Swiss chard with green leaves and multicolored stalks.
Food_Group__p1_img1.png,"A variety of breads and pasta, including a loaf of bread, several rolls, and dry pasta shapes, alongside grains."
Food_Group__p1_img10.png,A glass of iced tea with a lemon wedge and a straw.
Food_Group__p1_img11.png,A glass cup containing a single serving of cappuccino.
Food_Group__p1_img12.png,A single slice of layered chocolate cake with chocolate frosting.
Food_Group__p1_img2.png,"A variety of dairy products including a bowl of cottage cheese, a plate with several pieces of butter, a glass and a small bottle of milk, a jug of milk, and a small dish of yogurt."
Food_Group__p1_img3.png,"A variety of whole fruits including a pineapple, bananas, apples, oranges, a lemon, red grapes, green grapes, a kiwi, and tomatoes displayed together."
Food_Group__p1_img4.png,A variety of uncooked beans and lentils arranged on a white surface.
Food_Group__p1_img5.png,Four whole sweet potatoes.
Food_Group__p1_img6.png,"Three whole, unpeeled potatoes."
Food_Group__p1_img7.png,Two ears of corn with husks attached.
Food_Group__p1_img8.png,A sliced kabocha squash showing seeds inside.
Food_Group__p1_img9.png,"A tray with three types of layered Malaysian kuih, including green pandan, purple yam topped with sesame seeds, and yellow custard on a steamed rice base, placed on a banana leaf."
Food_Group__p20_img1.png,A pile of orange lentils placed on a flat surface.
Food_Group__p20_img2.png,"An assortment of uncooked beans, including green split peas, red beans, and black-eyed peas."
Food_Group__p20_img3.png,A mixed assortment of dried beans and lentils spread out.
Food_Group__p20_img4.png,A pile of uncooked black beans.
Food_Group__p20_img5.png,A portion of baked beans in sauce on a white background.
Food_Group__p21_img1.png,A glass and a bottle of milk.
Food_Group__p21_img2.png,A spoonful of yogurt held above a bowl of yogurt.
Food_Group__p21_img3.png,A pile of mixed nuts and seeds.
Food_Group__p21_img4.png,A wooden bowl filled with uncooked oats and a small wooden scoop containing oats beside it.
Food_Group__p21_img5.png,Two pieces of chocolate bar with segmented squares on a white background.
Food_Group__p21_img6.png,A small pile of granola with mixed nuts and dried fruit on a white surface.
Food_Group__p21_img7.png,A small brown ceramic bowl filled with soy sauce.
Food_Group__p21_img8.png,"A small glass bowl filled with peanut butter, surrounded by whole and shelled peanuts."
Food_Group__p22_img1.png,A single whole red apple with a green leaf.
Food_Group__p22_img2.png,A pile of fresh blueberries with two leaves.
Food_Group__p22_img3.png,A small heap of fresh cranberries scattered on a white surface.
Food_Group__p22_img4.png,A cluster of red grapes with attached leaves.
Food_Group__p22_img5.png,A whole grapefruit and a halved grapefruit.
Food_Group__p22_img6.png,Two whole peaches with leaves.
Food_Group__p22_img7.png,A whole green pear and a half-cut pear with visible seeds.
Food_Group__p22_img8.png,A whole pineapple with one slice cut off and displayed in front.
Food_Group__p22_img9.png,Three fresh raspberries with a small green leaf.
Food_Group__p23_img1.png,A bunch of green asparagus spears.
Food_Group__p23_img2.png,A pile of fresh green beans on a white background.
Food_Group__p23_img3.png,A pile of yellow wax beans.
Food_Group__p23_img4.png,A whole head of green lettuce.
Food_Group__p23_img5.png,A whole green cabbage and a quarter wedge of green cabbage.
Food_Group__p23_img6.png,Three whole carrots with green tops attached.
Food_Group__p23_img7.png,A bunch of fresh celery stalks with leaves attached.
Food_Group__p23_img8.png,A single ear of corn with husks partially peeled.
Food_Group__p23_img9.png,A whole cucumber with a portion cut into five slices.
Food_Group__p24_img1.png,A single whole eggplant with a green stem.
Food_Group__p24_img2.png,A whole red onion and a half-sliced red onion.
Food_Group__p24_img3.png,Two whole daikon radishes with leafy greens attached.
Food_Group__p24_img4.png,"Two whole turnips with purple and white skin, including leafy tops."
Food_Group__p25_img1.png,"A variety of breads and pasta displayed together, including a loaf of bread, round rolls, different shapes of dry pasta, and grains."
Food_Group__p25_img2.png,A whole angel food cake on a round black plastic tray.
Food_Group__p25_img3.png,A whole lattice-topped pie on a white background.
Food_Group__p25_img4.png,Four round vanilla wafers.
Food_Group__p2_img1.png,"A whole raw chicken, uncooked and without seasoning."
Food_Group__p2_img2.png,Two raw beef fillets placed side by side.
Food_Group__p2_img3.png,"A selection of whole raw fish and seafood, including multiple fish, a crab, and a shrimp, arranged together. Portion size not specified."
Food_Group__p2_img4.png,Six whole eggs with a mix of brown and white shells.
Food_Group__p2_img5.png,"A variety of dairy products including a glass of milk, a bottle of milk, a jug of milk, a bowl of cottage cheese, a plate with butter, a jar of yogurt, and a small dish of cream."
Food_Group__p3_img1.png,"An assortment of various dried beans and legumes, including kidney beans, chickpeas, lentils, and others, arranged in a cluster."
Food_Group__p3_img2.png,Three slices of yellow butter sliced from a log covered in shredded coconut.
Food_Group__p3_img3.png,"A small pile of mixed nuts, including pistachios, almonds, hazelnuts, peanuts, and cashews."
Food_Group__p4_img1.png,A bottle of olive oil with a small glass bowl containing olive oil.
Food_Group__p4_img2.png,A stick of butter with a butter knife.
Food_Group__p4_img3.png,A small cluster of whole almonds with leaves and an almond shell.
Food_Group__p4_img4.png,A small pile of roasted cashew nuts.
Food_Group__p4_img5.png,"An open peanut shell containing three whole peanuts, with two green leaves in the background."
Food_Group__p4_img6.png,A whole raw mackerel fish.
Food_Group__p4_img7.png,A whole barramundi fish.
Food_Group__p4_img8.png,Two raw salmon fillets stacked.
Food_Group__p4_img9.png,"Two halves of an avocado, one with a pit and one without."
Food_Group__p5_img1.png,"A variety of whole fruits including a pineapple, bananas, apples, oranges, grapes, a kiwi, a lemon, and a papaya displayed together."
Food_Group__p5_img2.png,"A variety of fresh vegetables, including carrots, lettuce, tomatoes, peppers, potatoes, and beans, spread around an overturned wooden basket."
Food_Group__p5_img3.png,"An assortment of grains and seeds, including corn cobs, popcorn kernels, sunflower seeds, rice, flaxseeds, oats, and wheat in bowls and a burlap sack."
Food_Group__p6_img1.png,A glass of milk next to a full carafe of milk.
Food_Group__p6_img2.png,An assortment of various types of cheese slices and wedges arranged in a circular pattern.
Food_Group__p6_img3.png,A spoonful of yogurt with a bowl of yogurt in the background.
Food_Group__p6_img4.png,"Three scoops of ice cream (strawberry, chocolate, vanilla) in a bowl with a wafer stick and a strawberry garnish."
Food_Group__p7_img1.png,"A variety of canned foods, including tomato soup, sweet corn, green beans, sardines, pink salmon, baked beans, black beans, and cheddar cheese soup. Portion sizes not visible."
Food_Group__p7_img10.png,A pile of coarse sea salt on a white background.
Food_Group__p7_img2.png,"Four bottles of various sauces, each in a clear glass bottle with a black cap."
Food_Group__p7_img3.png,Two blocks of uncooked instant ramen noodles.
Food_Group__p7_img4.png,Three grilled sausages.
Food_Group__p7_img5.png,Six pieces of breaded chicken nuggets.
Food_Group__p7_img6.png,A small pile of potato chips on a white surface.
Food_Group__p7_img7.png,Two grilled hamburger patties.
Food_Group__p7_img8.png,"Assorted jars and bottles containing various spreads and liquids, standing upright in a row."
Food_Group__p7_img9.png,A single cube of bouillon with some crumbled pieces beside it.
Food_Group__p8_img1.png,A glass mug of beer with foam on top.
Food_Group__p8_img2.png,A pint glass filled with amber ale topped with a layer of foam.
Food_Group__p8_img3.png,Cacao beans and cacao nibs with a cacao pod and green leaves.
Food_Group__p8_img4.png,A single glass of chocolate milk with a splash on top.
Food_Group__p8_img5.png,A tall glass filled with iced cola.
Food_Group__p8_img6.png,"A can of Lipton Ice Tea, lemon flavor."
Food_Group__p8_img7.png,"Three cans of soda in green, red, and blue."
Food_Group__p9_img1.png,A glass of water filled to the top.
Food_Group__p9_img2.png,A cup of black coffee in a white cup on a saucer.
Food_Group__p9_img3.png,A cup of tea in a white teacup on a saucer.
Food_Group__p9_img4.png,A glass of milk and a small bowl of uncooked rice on a mat.
Food_Group__p9_img5.png,A glass of apple juice next to a whole green apple and a sliced green apple.
Food_Group__p9_img6.png,A glass of cranberry juice with cranberries beside it.
Food_Group__p9_img7.png,A glass of grape juice next to a small bunch of red grapes.
Food_Group__p9_img8.png,A glass of lemonade with a lemon slice garnish and a metal straw.
Malaysian_food_portion_size__photo_album_p101_img1.png,"A portion of fried kuey teow on a paper plate. 1 small plate of fried kuey teow/char kuey teow/kuey teow goreng, around 251g"
Malaysian_food_portion_size__photo_album_p101_img2.png,"A plate of char kway teow noodles with assorted ingredients, approximately 19 centimeters in diameter. 1 large plate of fried kuey teow/char kuey teow/kuey teow goreng, around 428g"
Malaysian_food_portion_size__photo_album_p101_img4.png,"A portion of char kway teow in a white foam takeout container, approximately 18 cm wide. 1 small plate of fried kuey teow/char kuey teow/kuey teow goreng, around 251g"
Malaysian_food_portion_size__photo_album_p101_img5.png,"A portion of Char Kuey Teow noodles with bean sprouts and vegetables in a takeout container, approximately 20cm wide. 1 large fried kuey teow/char keuey teow/kuey teow goreng, around 428g"
Malaysian_food_portion_size__photo_album_p103_img1.png,"A single serving of fried rice on a paper plate, including vegetables and scrambled eggs, next to a ruler for scale. 1 small plate of fried rice/nasi goreng, around 211g "
Malaysian_food_portion_size__photo_album_p103_img2.png,"A plate of fried rice with vegetables, approximately 21 cm in diameter. 1 large plate of fried rice/nasi goreng, around 442g"
Malaysian_food_portion_size__photo_album_p103_img4.png,"A serving of fried rice with shrimp, vegetables, and scallions in a rectangular styrofoam container, approximately 20 cm by 12 cm. 1 small plate of fried rice/nasi goreng, around 211g"
Malaysian_food_portion_size__photo_album_p103_img5.png,"A single portion of fried rice with shrimp and vegetables in a foam takeout container, approximately 18 cm in width. 1 large fried rice/nasi goreng, around 442g"
Malaysian_food_portion_size__photo_album_p105_img2.png,"A bowl of noodle soup with a reddish broth, measuring approximately 18 cm in diameter. 1 small bowl of curry noodles/mee kari around 81g "
Malaysian_food_portion_size__photo_album_p105_img3.png,"A bowl of noodles in brown soup, approximately 20 cm in diameter. 1 medium bowl of curry noodles/mee kari, around 192g"
Malaysian_food_portion_size__photo_album_p105_img4.png,"A bowl of noodle soup with broth, approximately 20 cm in diameter. 1 large bowl of curry noodles/mee kari, around 259g"
Malaysian_food_portion_size__photo_album_p107_img2.png,"A bowl of noodle soup, approximately 20 cm in diameter, with broth and thin white noodles. 1 small bowl soup vermicelli/bihun soup, around 65g "
Malaysian_food_portion_size__photo_album_p107_img3.png,"A single portion of rice noodles in broth served in a bowl. 1 medium bowl of soup vermicelli/bihun sup, around 126g "
Malaysian_food_portion_size__photo_album_p107_img4.png,"A bowl of rice noodles in broth, approximately 20 cm in diameter. 1 large bowl of soup vermicelli/bihun sup, around 276g"
Malaysian_food_portion_size__photo_album_p109_img2.png,"A portion of fried noodles with greens, dumplings, and slices of meat on a plate. Rulers indicate the size is approximately 19 cm in diameter. 1 small plate of wonton noodles/mee wonton, around 210g"
Malaysian_food_portion_size__photo_album_p109_img3.png,"A portion of fried noodles with green onions, two dumplings, slices of meat, and green vegetables on a paper plate. 1 medium plate of wondon noodles/mee wonton, around 311g"
Malaysian_food_portion_size__photo_album_p109_img4.png,"A plate of dry noodles with slices of meat, dumplings, and leafy greens, approximately 20 centimeters in diameter. 1 large plate of wonton noodles/mee wonton, around 390g "
Malaysian_food_portion_size__photo_album_p111_img1.png,"A single currypuff on a disposable plate, approximately 9 cm in length.  1 small currypuff, around 22g"
Malaysian_food_portion_size__photo_album_p111_img2.png,"A single currypuff on a white paper plate, approximately 10 centimeters in length. 1 medium currypuff, around 42g"
Malaysian_food_portion_size__photo_album_p111_img3.png,"A single fried currypuff on a paper plate, measuring approximately 12 centimeters in length. 1 big currypuff, around 104g"
Malaysian_food_portion_size__photo_album_p113_img2.png,"A single small doughnut on a plate, approximately 3 centimeters in diameter. 1 small doughnut, around 6g"
Malaysian_food_portion_size__photo_album_p113_img3.png,"A single frosted doughnut on a paper plate. 1 large doughnut, around 64g "
Malaysian_food_portion_size__photo_album_p11_img1.png,"A portion of thin white rice noodles in a bowl, approximately 12 cm in diameter. I small bowl of cooked rice noodle/mee-hoon, around 69g"
Malaysian_food_portion_size__photo_album_p11_img2.png,"A bowl of cooked white vermicelli noodles, with a portion size of approximately 16 cm in diameter. 1 medium bowl of cooked rice noodles/mee-hoon, around 152g"
Malaysian_food_portion_size__photo_album_p11_img3.png,"A bowl of white rice noodles, approximately 15 cm in diameter. 1 large bowl of cooked rice noodle/mee-hoon, around 223g "
Malaysian_food_portion_size__photo_album_p13_img1.png,"A portion of cooked white noodles on a disposable plate, approximately 10 cm in length. 1 small plate of cooked rice noodle/mee-hoon, around 69g"
Malaysian_food_portion_size__photo_album_p13_img2.png,"A portion of cooked white rice noodles on a plate, approximately 12 cm in diameter. 1 medium plate of cooked rice noodle/mee-hoon, around 152g "
Malaysian_food_portion_size__photo_album_p13_img3.png,"A serving of cooked white rice noodles on a disposable plate, approximately 20 cm in diameter. 1 large plate of cooked rice noodle/mee-hoon, around 223g"
Malaysian_food_portion_size__photo_album_p15_img1.png,"A portion of cooked yellow noodles in a bowl. Rulers indicate size in centimeters. 1 small bowl of cooked yellow noodles, around 117g "
Malaysian_food_portion_size__photo_album_p15_img2.png,"A portion of yellow noodles in a bowl, approximately 14 cm in diameter. 1 medium bowl of cooked noodle, around 186g"
Malaysian_food_portion_size__photo_album_p15_img3.png,"A bowl of plain cooked spaghetti, approximately 18 cm in diameter. 1 large bowl of cooked yellow noodle, around 180g"
Malaysian_food_portion_size__photo_album_p17_img1.png,"A serving of cooked yellow noodles on a paper plate, approximately 10 cm in diameter. 1 small plate of cooked yellow noodle, around 117g "
Malaysian_food_portion_size__photo_album_p17_img2.png,"A portion of plain yellow noodles on a white plate, approximately 15 cm across. 1 medium plate of cooked yellow noodle, around 186g"
Malaysian_food_portion_size__photo_album_p17_img3.png,"A serving of cooked yellow noodles on a white paper plate, approximately 20 cm in diameter. 1 large plate cooked yellow noodle, around 280g "
Malaysian_food_portion_size__photo_album_p19_img1.png,"A single bowl of corn flakes on a blue surface, with measurement rulers indicating the size. 1 small bowl of cornflake, aaround 18g"
Malaysian_food_portion_size__photo_album_p19_img2.png,"A bowl of cornflakes, approximately 10 cm in diameter. 1 medium bowl of cornflake, around 42g"
Malaysian_food_portion_size__photo_album_p19_img3.png,"A full bowl of cornflakes. 1 large bowl of cornflake, around 62g"
Malaysian_food_portion_size__photo_album_p21_img1.png,"A small portion of cooked quinoa in a glass bowl, placed on a white paper plate. 1 medium bowl of cooked quick oats, around 18g"
Malaysian_food_portion_size__photo_album_p21_img2.png,"A small glass bowl of oatmeal on a white paper plate, with a ruler for scale. 1 large bowl of cooked quick oats, around 236g"
Malaysian_food_portion_size__photo_album_p23_img1.png,"A small portion of sautéed leafy greens on a white paper plate. 1 scoop of cooked water spinach/kangkung, around 54g"
Malaysian_food_portion_size__photo_album_p23_img2.png,"A portion of cooked green leafy vegetables on a white paper plate. 2 scoops of cooked water spinach/kangkung, around 101g"
Malaysian_food_portion_size__photo_album_p25_img1.png,"A portion of cooked green beans with red peppers on a paper plate, approximately 10 cm in length. 1 scoop of long beans/kacang panjang, around 33g"
Malaysian_food_portion_size__photo_album_p25_img2.png,"A portion of cooked green beans with red peppers and bits of meat on a white disposable plate. 2 scoops long beans/kacang panjang, around 62g"
Malaysian_food_portion_size__photo_album_p27_img1.png,"A small serving of bean sprouts on a paper plate. 1 scoop bean sprouts/taugeh, around 53g "
Malaysian_food_portion_size__photo_album_p27_img2.png,"A portion of bean sprouts on a paper plate. 2 scoops of bean sprouts/taugeh, around 96g"
Malaysian_food_portion_size__photo_album_p29_img1.png,"A portion of cooked cauliflower florets on a disposable plate with a measurement scale. 1 scoop of cooked cauliflower, around 75g "
Malaysian_food_portion_size__photo_album_p29_img2.png,"A portion of cooked cauliflower florets on a white paper plate, with visible rulers indicating size. 2 scoops of cauliflower, around 143g"
Malaysian_food_portion_size__photo_album_p31_img1.png,"A small portion of spicy stew with sliced green chilies on a white paper plate. 1 tablespoon of cooked petai, around 29g "
Malaysian_food_portion_size__photo_album_p31_img2.png,"A portion of sambal petai on a white paper plate.2 tablespoons of cooked petai, around 59g "
Malaysian_food_portion_size__photo_album_p31_img3.png,"A small portion of sambal with petai beans on a white paper plate, placed on a surface marked with a ruler for scale. 3 tablespoons of cooked petai, around 85g"
Malaysian_food_portion_size__photo_album_p33_img1.png,"Sliced green chili peppers on a white disposable plate, portion size approximately a small handful. 1 scoop okra (lady's fingers)/bendi, around 33g"
Malaysian_food_portion_size__photo_album_p33_img2.png,"A serving of sliced okra on a white disposable plate. 2 scoops okra (Lady's fingers) / bendi, around 62g"
Malaysian_food_portion_size__photo_album_p35_img1.png,"A small portion of mixed green salad with cherry tomatoes and croutons in a disposable bowl. 1 standard portion of garden salad, around 131g "
Malaysian_food_portion_size__photo_album_p37_img1.png,"A single apple on a white paper plate, with measurements indicating size approximately 8 cm in diameter. 1 small whole apple, around 104g "
Malaysian_food_portion_size__photo_album_p37_img2.png,"A single apple on a paper plate with a visible ruler indicating size.1 medium whole apple, around 145g "
Malaysian_food_portion_size__photo_album_p37_img3.png,"A single red apple on a white paper plate, with a ruler indicating size. 1 big whole apple, around 233g "
Malaysian_food_portion_size__photo_album_p39_img1.png,"A small banana on a white disposable plate, with a ruler for scale. 1 small banana, around 45g "
Malaysian_food_portion_size__photo_album_p39_img2.png,"A single banana on a white paper plate, approximately 18 cm in length. 1 medium banana, around 56g "
Malaysian_food_portion_size__photo_album_p39_img3.png,"A whole banana on a disposable plate, with visible measurement scales next to it. 1 large banana, around 117g "
Malaysian_food_portion_size__photo_album_p3_img1.png,"A portion of white rice on a disposable plate, approximately 15 cm wide. 1 scoop of cooked white rice, around 63g"
Malaysian_food_portion_size__photo_album_p3_img2.png,"A portion of white rice on a paper plate, approximately 16 cm in diameter. 2 scoops of cooked white rice, around 109g"
Malaysian_food_portion_size__photo_album_p3_img3.png,"A portion of white rice on a paper plate, approximately 15 cm in diameter. 3 scoops of cooked white rice, around 163g"
Malaysian_food_portion_size__photo_album_p41_img1.png,"A single whole orange on a white disposable plate. 1 small whole orange, around 98g"
Malaysian_food_portion_size__photo_album_p41_img2.png,"A single orange on a white paper plate.1 medium whole orange, around 165g "
Malaysian_food_portion_size__photo_album_p41_img3.png,"A whole orange on a white disposable plate, approximately 10 centimeters in diameter. 1 large whole orange, around 287g"
Malaysian_food_portion_size__photo_album_p43_img1.png,"Seven red grapes on a disposable plate.8 pieces of grapes, around 35g "
Malaysian_food_portion_size__photo_album_p43_img2.png,"A portion of red grapes on a disposable plate. 12 pieces of grapes, around 50g"
Malaysian_food_portion_size__photo_album_p43_img3.png,"A portion of approximately 20 red grapes on a disposable plate. 20 pieces of grapes, around 86g "
Malaysian_food_portion_size__photo_album_p45_img1.png,"A single slice of watermelon on a white paper plate. 1 small slce of watermelon, around 118g "
Malaysian_food_portion_size__photo_album_p45_img2.png,"A single slice of watermelon on a white plate, approximately 22 cm long.1 large slice of watermelon, around 240g "
Malaysian_food_portion_size__photo_album_p47_img1.png,"A single long slice of papaya on a white disposable plate, approximately 18 cm in length. 1 thin slice of papaya, around 80g "
Malaysian_food_portion_size__photo_album_p47_img2.png,"A slice of papaya placed on a disposable white plate, approximately 23 cm in length. 1 thick slice of papaya, around 159g"
Malaysian_food_portion_size__photo_album_p49_img1.png,"A single slice of pineapple on a small white paper plate. 1 slice pineapple, around 90g "
Malaysian_food_portion_size__photo_album_p51_img2.png,"A single slice of guava  placed on a white disposable plate.1 small slice of guava, around 82g"
Malaysian_food_portion_size__photo_album_p51_img3.png,"Half of a peeled, hollowed-out guava on a white paper plate, with a ruler for scale. 1 big slice of guava, around 170g"
Malaysian_food_portion_size__photo_album_p53_img2.png,"A single peeled yellow mango slice on a white paper plate. Half (1/2) a piece of mango, around 100g"
Malaysian_food_portion_size__photo_album_p53_img3.png,"A single peeled mango on a round paper plate, with rulers indicating approximate size. 1 whole mango, around 268g"
Malaysian_food_portion_size__photo_album_p55_img2.png,"A rectangular piece of bean curd/tauhu on a disposable plate, approximately 8 cm long. Half a piece of bean curd/tauhu, around 92g"
Malaysian_food_portion_size__photo_album_p55_img3.png,"A block of tofu on a round paper plate, approximately four inches per side. 1 whole piece of bean curd/tauhu, around 191g"
Malaysian_food_portion_size__photo_album_p57_img1.png,"A small bowl of yellow dhal next to a large spoon, with rulers for scale. 1 scoop of yellow dhal, around 63g "
Malaysian_food_portion_size__photo_album_p57_img2.png,"A small bowl of yellow dhal with a large white spoon beside it. 2 scoops of yellow dhal, around 123g "
Malaysian_food_portion_size__photo_album_p57_img3.png,"A small bowl of  yellow dhal next to a large white spoon, with rulers for scale. 3 scoops of yellow dhal, around 195g"
Malaysian_food_portion_size__photo_album_p59_img1.png,"A portion of chickpeas in a white bowl placed next to a large white spoon on a blue surface. 1 scoop of chickpea, around 54g "
Malaysian_food_portion_size__photo_album_p59_img2.png,"A small plate of cooked chickpeas with a spoon beside it, measured against a ruler. 2 scoops of chickpeas, around 106g "
Malaysian_food_portion_size__photo_album_p59_img3.png,"A small white plate filled with yellow split peas. 3 scoops of chickpeas, around 151g"
Malaysian_food_portion_size__photo_album_p5_img1.png,"A single scoop of white rice on a round, white paper plate with rulers for scale. 1 small bowl of cooked white rice, around  71g"
Malaysian_food_portion_size__photo_album_p5_img2.png,"A portion of white rice on a paper plate, approximately 14 cm in diameter. 1 medium bowl of cooked white rice, ariund 163g"
Malaysian_food_portion_size__photo_album_p5_img3.png,"A portion of white rice on a disposable plate. 1 large bowl of cooked white rice, around 230g"
Malaysian_food_portion_size__photo_album_p61_img2.png,"A single piece of mackerel on a white paper plate, approximately 6 cm in length. 1 small spanish mackerel/ikan tenggiri, around 32g"
Malaysian_food_portion_size__photo_album_p61_img3.png,"A single slice of mackerel  on a disposable plate, approximately 9 cm in length. 1 medium spanish mackerel/ikan tenggiri, around 55g"
Malaysian_food_portion_size__photo_album_p63_img2.png,"A single small fish on a paper plate with a measurement of approximately 11 cm in length. 1 small indian mackerel/ikan kembong, around 10g"
Malaysian_food_portion_size__photo_album_p63_img3.png,"A single cooked fish on a paper plate, approximately 16 cm in length. 1 medium indian mackerel/ikan kembong, around 39g"
Malaysian_food_portion_size__photo_album_p65_img2.png,"A portion of cuttlefish sambal on a white paper plate, approximately 10 cm across. 1 scoop of cuttlefish sambal/sambal sotong, around 85g"
Malaysian_food_portion_size__photo_album_p65_img3.png,"A portion of cooked pasta with tomato sauce on a disposable white plate. 2 scoops of cuttlefish sambal/sambal sotong, around 161g"
Malaysian_food_portion_size__photo_album_p67_img2.png,"Two fishballs on a white disposable plate with rulers beside for scale. 2 large fishballs, around 50g"
Malaysian_food_portion_size__photo_album_p69_img2.png,"Sliced roasted chicken breast on a paper plate, approximately 16 cm in length. 1 small chicken breast, around 91g "
Malaysian_food_portion_size__photo_album_p69_img3.png,"Slices of roasted chicken on a disposable plate, approximately 9 cm in size. 1 large portion chicken breast, around 142g"
Malaysian_food_portion_size__photo_album_p71_img2.png,"A single slice of white bread with butter on a disposable plate. 1 teaspoon of butter, around 5g "
Malaysian_food_portion_size__photo_album_p71_img3.png,"A single slice of buttered white bread on a paper plate. 2 teaspoons of butter, around 10g "
Malaysian_food_portion_size__photo_album_p73_img2.png,"A single slice of white bread with a spread of yellow butter on a paper plate. 1 teaspoon of kaya, around 5g "
